ID,Shorthand Code,Grammatical Item,Sentence Type,CEFR-J Level,FREQ*DISP,Core Inventory,EGP,GSELO,Notes
1,PP.I_am,I am,AFF. DEC.,A1.1,A1,A1,A1,A1,
1-1,PP.I_am_not,I am not,NEG. DEC.,A1.1,A1,A1,"A1-A2, C1",A1,
1-2,PP.am_I,Am I ...?,AFF. INT.,,,A1,A1-A2,A1,文頭(相当)または接続詞直後の位置・疑問符で終わる文に限定
1-3,PP.am_I_not,Am I not ...?,NEG. INT.,,,A1,N/A,A1,文頭(相当)または接続詞直後の位置・疑問符で終わる文に限定
2,PP.you_are,You are,AFF. DEC.,B1.1,A1,A1,A1-A2,A1,文頭(相当)位置に限定
2-1,PP.you_are_not,You are not,NEG. DEC.,,,A1,"A1, C2",A1,文頭(相当)位置に限定
2-2,PP.are_you,Are you ...?,AFF. INT.,A1.3,A1,A1,A1-A2,A1,文頭(相当)または接続詞直後の位置・疑問符で終わる文に限定
2-3,PP.aren't_you,Aren't you ...?,NEG. INT.,,,A1,B1,A1,文頭(相当)または接続詞直後の位置・疑問符で終わる文に限定
3,PP.he.she_is,he/she is,AFF. DEC.,A1.1,A1,A1,A1,A1,
3-1,PP.he.she_is_not,he/she is not,NEG. DEC.,,A1,A1,A1,A1,
3-2,PP.is_he.she,Is he/she ...?,AFF. INT.,,A1,A1,A1,A1,文頭(相当)または接続詞直後の位置・疑問符で終わる文に限定
3-3,PP.isn't_he.she,Isn't he/she ...?,NEG. INT.,,,A1,"A2, B1",A1,文頭(相当)または接続詞直後の位置・疑問符で終わる文に限定
4,PP.we_are,we are,AFF. DEC.,A1.1,A1,A1,A1,A1,
4-1,PP.we_are_not,we are not,NEG. DEC.,,A1,A1,A1,A1,
4-2,PP.are_we,Are we ...?,AFF. INT.,,,A1,A1,A1,文頭(相当)または接続詞直後の位置・疑問符で終わる文に限定
4-3,PP.aren't_we,Aren't we ...?,NEG. INT.,,,A1,B1,A1,文頭(相当)または接続詞直後の位置・疑問符で終わる文に限定
5,PP.they_are,they are,AFF. DEC.,A1.1,A1,A1,A1,A1,
5-1,PP.they_are_not,they are not,NEG. DEC.,,A1,A1,A1,A1,
5-2,PP.are_they,Are they ...?,AFF. INT.,,A1,A1,A1,A1,文頭(相当)または接続詞直後の位置・疑問符で終わる文に限定
5-3,PP.aren't_they,Aren't they ...?,NEG. INT.,,,A1,B1,A1,文頭(相当)または接続詞直後の位置・疑問符で終わる文に限定
